Vehicle Number,Actual Total,KG14,KG19,KG425
TN31BT6638,336,336,12,0
TN31BE3496,321,273,48,0
TN30BC0797,339,315,24,0
PY05VC3143,72,0,72,0
PY05VB1166,348,336,12,0
TN31BT6638,348,336,12,0
TN20CX2287,339,315,24,0
TN31BB9002,350,350,0,0
PY05VB1166,339,315,24,0
TN32H9813,216,0,216,0
TN54R6556,350,350,0,0
TN32H9813,216,0,216,0
TN29BZ3669,350,350,0,0
TN69BZ7291,350,350,0,0
TN31E9555,204,0,204,0
TN31BT6638,348,336,12,0
TN31BR2254,321,273,48,0
TN33BL6347,350,350,0,0
TN124594,336,336,0,0
TN31BT6638,350,350,0,0
PY05VC3143,72,0,72,0
TN54R6556,350,350,0,0
PY05VC3143,72,0,72,0
TN15T8496,339,315,24,0
TN28BF2812,348,336,12,0
TN31E9555,216,0,216,0
TN46S5266,339,315,24,0
PY05VC3143,60,0,60,0
TN54J9788,336,336,0,0
TN31AF8403,321,273,48,0
TN14W0472,321,273,48,0
TN124594,336,336,0,0
KA01AJ3571,339,339,0,0
TN32H9813,300,300,0,0
TN28BZ3669,336,336,0,0
TN54R6556,350,350,0,0
TN32BA0331,350,0,0,0
TN28BB9970,350,350,0,0
TN32AV0099,180,0,180,0
TN32H9813,348,336,12,0
TN28BZ3669,348,336,12,0
TN32AV0099,180,0,180,0
TN48AD0518,350,350,0,0
TN33BL6347,350,350,0,0
TN31BE3496,350,350,0,0
TN20CZ0767,350,350,0,0
TN69BZ7291,348,336,12,0
TN20CX2287,339,315,24,0
TN54R6556,348,336,12,0
TN30AQ2476,350,350,0,0
